時,分,直行,学
7,33,f,f
8,3,f,f
8,48,f,f
9,13,f,f
9,28,f,f
10,4,f,f
10,23,f,f
10,42,f,f
11,3,f,f
11,19,f,f
11,35,f,f
11,51,f,f
12,10,f,f
12,20,f,t
12,30,f,f
12,40,f,t
12,50,f,f
13,4,f,f
13,24,f,f
13,44,f,f
14,4,f,f
14,24,f,f
14,37,f,f
14,41,f,t
14,45,f,t
14,50,f,f
15,9,f,f
15,36,f,t
15,51,f,f
16,10,t,t
16,15,f,f
16,20,f,t
16,24,f,t
16,28,f,t
16,36,f,f
16,51,f,f
17,5,f,f
17,15,f,t
17,25,f,f
17,43,f,f
17,55,t,t
17,59,f,f
18,3,f,t
18,8,f,t
18,14,f,f
18,34,f,f
18,50,f,f
19,10,f,f
19,40,f,f
19,55,f,f
20,10,f,f
20,35,f,f
21,20,f,f
21,49,f,f
22,19,f,f
