時,分,直行,学
6,35,f,f
7,23,f,f
7,55,f,f
8,8,f,f
8,13,f,t
8,18,f,t
8,22,f,f
8,26,t,t
8,29,t,t
8,32,t,t
8,35,f,f
8,40,t,t
8,45,f,t
8,55,f,f
9,15,f,f
9,25,f,t
9,35,f,f
9,47,f,t
9,55,f,f
10,0,f,t
10,5,t,t
10,10,f,t
10,15,f,f
10,25,f,t
10,35,f,f
10,43,f,t
10,55,f,f
11,15,f,f
11,35,f,f
11,50,f,f
12,5,f,f
12,20,f,f
12,30,f,f
12,35,f,t
12,50,f,f
13,10,f,f
13,35,f,f
13,50,f,f
14,5,f,f
14,20,f,f
14,40,f,f
15,5,f,f
15,20,f,f
15,35,f,f
15,50,f,f
16,5,f,f
16,20,f,f
16,35,f,f
16,50,f,f
17,5,f,f
17,20,f,f
17,35,f,f
17,50,f,f
18,5,f,f
18,20,f,f
18,35,f,f
18,50,f,f
19,5,f,f
19,20,f,f
19,35,f,f
19,50,f,f
20,10,f,f
20,30,f,f
20,50,f,f
21,20,f,f
21,50,f,f
23,1,f,f
